,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_w,0.5695,0.1777,0.2498,0.8859,0.0026,0.0021,4451.6547,2944.274,1.0
tau,5.8588,2.6347,1.1439,10.7149,0.0437,0.0343,3025.839,2090.146,1.0001
sigma_mu,0.6835,0.5077,0.0001,1.6169,0.0079,0.0065,2696.5093,1513.7634,1.0013
