,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_w,0.5168,0.2084,0.147,0.8928,0.0024,0.0025,7556.3628,3669.3483,1.0007
tau,4.0222,2.3478,0.229,8.3486,0.0353,0.0351,3431.8141,2032.5864,1.0
sigma_mu,0.6145,0.4806,0.0002,1.4948,0.0065,0.0068,3521.2119,2499.9876,1.001
