season,week,eps,flip_rate
2,1,0.02,0.0
2,1,0.05,0.02
2,1,0.1,0.148
2,2,0.02,0.0
2,2,0.05,0.068
2,2,0.1,0.248
2,3,0.02,0.0
2,3,0.05,0.004
2,3,0.1,0.18
2,4,0.02,0.0
2,4,0.05,0.0
2,4,0.1,0.0
2,5,0.02,0.0
2,5,0.05,0.088
2,5,0.1,0.312
2,6,0.02,0.0
2,6,0.05,0.104
2,6,0.1,0.276
2,7,0.02,0.0
2,7,0.05,0.016
2,7,0.1,0.188
2,8,0.02,0.232
2,8,0.05,0.404
2,8,0.1,0.42
