season,week,eps,flip_rate
1,1,0.02,0.0
1,1,0.05,0.116
1,1,0.1,0.304
1,2,0.02,0.14
1,2,0.05,0.204
1,2,0.1,0.236
1,3,0.02,0.0
1,3,0.05,0.044
1,3,0.1,0.184
1,4,0.02,0.0
1,4,0.05,0.084
1,4,0.1,0.276
1,5,0.02,0.0
1,5,0.05,0.028
1,5,0.1,0.18
1,6,0.02,0.0
1,6,0.05,0.0
1,6,0.1,0.0
