season,week,eps,flip_rate
3,1,0.02,0.716
3,1,0.05,0.772
3,1,0.1,0.756
3,2,0.02,0.26
3,2,0.05,0.316
3,2,0.1,0.516
3,3,0.02,0.308
3,3,0.05,0.52
3,3,0.1,0.712
3,4,0.02,0.212
3,4,0.05,0.572
3,4,0.1,0.748
3,5,0.02,0.22
3,5,0.05,0.492
3,5,0.1,0.52
3,6,0.02,0.0
3,6,0.05,0.128
3,6,0.1,0.336
3,7,0.02,0.0
3,7,0.05,0.076
3,7,0.1,0.26
3,8,0.02,0.0
3,8,0.05,0.012
3,8,0.1,0.108
3,9,0.02,0.0
3,9,0.05,0.012
3,9,0.1,0.252
3,10,0.02,0.108
3,10,0.05,0.34
3,10,0.1,0.38
