,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_w,0.5698,0.1886,0.247,0.9289,0.0023,0.0021,6544.3732,3354.3294,0.9997
tau,4.9578,2.3604,1.0744,9.6109,0.0418,0.037,2393.6189,1317.3396,1.0021
sigma_mu,0.6086,0.4778,0.0,1.493,0.0059,0.0077,4489.0621,2351.6859,1.0018
