,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_w,0.5294,0.1932,0.2045,0.9064,0.0029,0.0024,4477.692,3495.656,1.0001
tau,5.2172,2.7828,0.5039,10.2431,0.0478,0.0424,2919.3249,2014.7727,1.0007
sigma_mu,0.7016,0.5122,0.0006,1.5794,0.0073,0.0072,3137.1363,1997.6021,1.0014
