season,week,eps,flip_rate
2,1,0.02,0.48
2,1,0.05,0.636
2,1,0.1,0.792
2,2,0.02,0.352
2,2,0.05,0.508
2,2,0.1,0.652
2,3,0.02,0.292
2,3,0.05,0.412
2,3,0.1,0.508
2,4,0.02,0.156
2,4,0.05,0.376
2,4,0.1,0.412
2,5,0.02,0.0
2,5,0.05,0.004
2,5,0.1,0.068
2,6,0.02,0.012
2,6,0.05,0.228
2,6,0.1,0.364
2,7,0.02,0.0
2,7,0.05,0.004
2,7,0.1,0.024
2,8,0.02,0.0
2,8,0.05,0.0
2,8,0.1,0.004
