season,week,eps,flip_rate
3,1,0.02,0.0
3,1,0.05,0.0
3,1,0.1,0.116
3,2,0.02,0.2
3,2,0.05,0.484
3,2,0.1,0.684
3,3,0.02,0.308
3,3,0.05,0.512
3,3,0.1,0.668
3,4,0.02,0.0
3,4,0.05,0.18
3,4,0.1,0.4
3,5,0.02,0.396
3,5,0.05,0.608
3,5,0.1,0.66
3,6,0.02,0.0
3,6,0.05,0.012
3,6,0.1,0.224
3,7,0.02,0.012
3,7,0.05,0.188
3,7,0.1,0.388
3,8,0.02,0.1
3,8,0.05,0.284
3,8,0.1,0.44
3,9,0.02,0.0
3,9,0.05,0.012
3,9,0.1,0.252
3,10,0.02,0.108
3,10,0.05,0.34
3,10,0.1,0.38
